"","Variables","VIF"
"1","Autres.coûts...coût.du.projet",4.34601597322576
"2","Bilans.financiers.indisponibles",5.73721413197995
"3","Bénéficiaires.impliqués.dans.plusieurs.P.O.",NA
"4","Bénéficiaires.impliqués.dans.plusieurs.projets",4.27830242000311
"5","Changement.d.activités",3.35692643331054
"6","Changement.d.adresses",2.3606291418535
"7","Changement.de.noms",4.77529311158238
"8","Contractants.impliqués.dans.plusieurs.P.O.",8.39189611101923
"9","Contractants.impliqués.dans.plusieurs.projets",9.21307738646026
"10","Contractants.impliqués.dans.plusieurs.projets.du.bénéficiaire",7.89355552674021
"11","Coût.du.projet...Chiffre.d.affaires.du.bénéficiaire",1.76039043225264
"12","Coût.du.projet...chiffre.d.affaires",4.17277379991765
"13","Coût.du.projet...nombre.d.employés",4.65360524257098
"14","Directeurs.actionnaires.avec.nombre.de.mandats.élevé",2.70541509163536
"15","Dépenses.à.montant.arrondi",2.32986471455833
"16","Dépenses.à.montant.dupliqué",4.56425375356349
"17","Entités.figurant.dans.des.listes.PPE",3.15342376846606
"18","Entités.figurant.dans.des.listes.de.police",3.20015832004831
"19","Entités.figurant.dans.des.listes.de.presse.négative",3.17457641451402
"20","Haute.propension.à.la.faillite.ou.en.détérioration",2.01445763485263
"21","Implication.d.un.directeur.actionnaire.dans.une.faillite",2.85076265381176
"22","Implication.de.directeurs.actionnaires.dans.une.région.sensible",2.26169230360393
"23","Implication.du.groupe.dans.une.région.sensible",3.12447755973311
"24","Liens.entre.bénéficiaires.partenaires",2.76185589351839
"25","Liens.entre.contractants.membres.de.consortium",2.29538941966582
"26","Multiples.sociétés.enregistrées.à.la.même.adresse",3.36113553792458
"27","Nouveaux.directeurs.actionnaires",4.43993405016839
"28","Partenaires.impliqués.dans.plusieurs.P.O.",6.42604241088325
"29","Partenaires.impliqués.dans.plusieurs.projets",5.03481319282797
"30","Propension.à.la.faillite.risquée.comparée.au.secteur.d.activité",2.31324871759755
"31","Risque.financier.des.entreprises.associées",2.32600976112106
"32","Rotation.importante.de.directeurs",5.22004330097529
"33","Société.nouvellement.créée",2.50037448624554
"34","Subventions.C.E....autres.contributions",4.61225503609961
"35","Subventions.C.E....revenus.du.projet",3.20307942488004
"36","Subventionss.C.E....coût.du.projet",2.71200470513848
"37","age",3.77198191368034
"38","country",NA
"39","error_rate",1.2222120058922
"40","size",2.511080560872
"41","type",NA
"42","year",NA
